system_id,system_label,model,harness,system_group,model_key,display_order,protocol_id,protocol_label,protocol_order,scheduled_attempt,result_present,result_path,benchmark_version,verifier_details_path,verifier_reward_path,verifier_error_analysis_path,status,exception_type,prediction_valid,verifier_completed,valid_completion,error_review_status,t2_required_family_f1,primary_t2_required_family_f1,t3_molecular_transition_f1,primary_t3_molecular_transition_f1,t3_state_f1,primary_t3_state_f1,t3_typed_edge_f1,primary_t3_typed_edge_f1,input_tokens,cache_read_tokens,cache_creation_tokens,cache_creation_5m_tokens,cache_creation_1h_tokens,output_tokens,normalized_api_cost_usd,normalized_api_cost_precision,normalized_api_cost_kind,pricing_snapshot_id,pricing_date,pricing_status,token_usage_source,uncached_input_tokens,rate_uncached_input_per_million,rate_cached_input_per_million,rate_output_per_million,rate_cache_creation_5m_per_million,rate_cache_creation_1h_per_million
gpt_pi,GPT + Pi,GPT,Pi,shared,gpt_5_6_sol,1,10x_chromium_3_gene_expression_v4,10x 3' GEX v4,1,1,1,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/10x_chromium_3_gene_expression_v__aimZh5i/result.json,4.5.0,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/10x_chromium_3_gene_expression_v__aimZh5i/verifier/rescore/libgen-4.5.0/details.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/10x_chromium_3_gene_expression_v__aimZh5i/verifier/rescore/libgen-4.5.0/reward.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/10x_chromium_3_gene_expression_v__aimZh5i/verifier/rescore/libgen-4.5.0/error_analysis.json,valid_completion,,1,1,1,pending,0.5389433551198257,0.5389433551198257,0.7821266968325792,0.7821266968325792,0.8436312154675314,0.8436312154675314,0.8461538461538461,0.8461538461538461,5797959,5797794,196383,,,60138,5.93125575,per_api_call,estimated,libgen-api-pricing-2026-08-15,2026-08-15,per_token_rates_available,harbor_agent_result,0.0,5.0,0.5,30.0,6.25,
gpt_pi,GPT + Pi,GPT,Pi,shared,gpt_5_6_sol,1,ddseq_single_cell_3_rna_seq_kit,ddSEQ 3' RNA,2,1,1,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/ddseq_single_cell_3_rna_seq_kit__d6SdwYu/result.json,4.5.0,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/ddseq_single_cell_3_rna_seq_kit__d6SdwYu/verifier/rescore/libgen-4.5.0/details.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/ddseq_single_cell_3_rna_seq_kit__d6SdwYu/verifier/rescore/libgen-4.5.0/reward.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/ddseq_single_cell_3_rna_seq_kit__d6SdwYu/verifier/rescore/libgen-4.5.0/error_analysis.json,valid_completion,,1,1,1,pending,0.0,0.0,0.5416666666666666,0.5416666666666666,0.893859649122807,0.893859649122807,0.3870967741935484,0.3870967741935484,3537434,3537332,192703,,,36111,4.05689975,per_api_call,estimated,libgen-api-pricing-2026-08-15,2026-08-15,per_token_rates_available,harbor_agent_result,0.0,5.0,0.5,30.0,6.25,
gpt_pi,GPT + Pi,GPT,Pi,shared,gpt_5_6_sol,1,dr_seq,DR-seq,3,1,1,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/dr_seq__b6WyNKW/result.json,4.5.0,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/dr_seq__b6WyNKW/verifier/rescore/libgen-4.5.0/details.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/dr_seq__b6WyNKW/verifier/rescore/libgen-4.5.0/reward.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/dr_seq__b6WyNKW/verifier/rescore/libgen-4.5.0/error_analysis.json,valid_completion,,1,1,1,pending,0.57,0.57,0.6076984126984126,0.6076984126984126,0.6167216994309236,0.6167216994309236,0.52,0.52,1932878,1932761,107582,,,41768,2.892393,per_api_call,estimated,libgen-api-pricing-2026-08-15,2026-08-15,per_token_rates_available,harbor_agent_result,0.0,5.0,0.5,30.0,6.25,
gpt_pi,GPT + Pi,GPT,Pi,shared,gpt_5_6_sol,1,indrop_v1,inDrop v1,4,1,1,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/indrop_v1__runEJ7j/result.json,4.5.0,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/indrop_v1__runEJ7j/verifier/rescore/libgen-4.5.0/details.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/indrop_v1__runEJ7j/verifier/rescore/libgen-4.5.0/reward.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/indrop_v1__runEJ7j/verifier/rescore/libgen-4.5.0/error_analysis.json,valid_completion,,1,1,1,pending,0.6213676672831602,0.6213676672831602,0.7106572769953051,0.7106572769953051,0.5500943622445511,0.5500943622445511,0.5806451612903226,0.5806451612903226,4889208,4889043,159596,,,63705,5.3539715,per_api_call,estimated,libgen-api-pricing-2026-08-15,2026-08-15,per_token_rates_available,harbor_agent_result,0.0,5.0,0.5,30.0,6.25,
gpt_pi,GPT + Pi,GPT,Pi,shared,gpt_5_6_sol,1,petri_seq,PETRI-seq,5,1,1,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/petri_seq__QB5ekSX/result.json,4.5.0,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/petri_seq__QB5ekSX/verifier/rescore/libgen-4.5.0/details.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/petri_seq__QB5ekSX/verifier/rescore/libgen-4.5.0/reward.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/petri_seq__QB5ekSX/verifier/rescore/libgen-4.5.0/error_analysis.json,valid_completion,,1,1,1,pending,0.652891852607566,0.652891852607566,0.8373751839917255,0.8373751839917255,0.6501177780205671,0.6501177780205671,0.7692307692307693,0.7692307692307693,7498125,7497945,391533,,,53801,7.81098375,per_api_call,estimated,libgen-api-pricing-2026-08-15,2026-08-15,per_token_rates_available,harbor_agent_result,0.0,5.0,0.5,30.0,6.25,
gpt_pi,GPT + Pi,GPT,Pi,shared,gpt_5_6_sol,1,pip_seq_v4,PIP-seq v4,6,1,1,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/pip_seq_v4__HWVs2YK/result.json,4.5.0,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/pip_seq_v4__HWVs2YK/verifier/rescore/libgen-4.5.0/details.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/pip_seq_v4__HWVs2YK/verifier/rescore/libgen-4.5.0/reward.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/pip_seq_v4__HWVs2YK/verifier/rescore/libgen-4.5.0/error_analysis.json,valid_completion,,1,1,1,pending,0.6067289935364729,0.6067289935364729,0.7286887089518668,0.7286887089518668,0.40013251122619553,0.40013251122619553,0.6666666666666666,0.6666666666666666,7911001,7910797,215303,,,80112,7.70542225,per_api_call,estimated,libgen-api-pricing-2026-08-15,2026-08-15,per_token_rates_available,harbor_agent_result,0.0,5.0,0.5,30.0,6.25,
gpt_pi,GPT + Pi,GPT,Pi,shared,gpt_5_6_sol,1,sci_atac_seq,sci-ATAC-seq,7,1,1,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/sci_atac_seq__7VV7ehr/result.json,4.5.0,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/sci_atac_seq__7VV7ehr/verifier/rescore/libgen-4.5.0/details.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/sci_atac_seq__7VV7ehr/verifier/rescore/libgen-4.5.0/reward.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/sci_atac_seq__7VV7ehr/verifier/rescore/libgen-4.5.0/error_analysis.json,valid_completion,,1,1,1,pending,0.7406417112299465,0.7406417112299465,0.57,0.57,0.371413024089472,0.371413024089472,0.23529411764705882,0.23529411764705882,2631735,2631621,131403,,,41961,3.39647925,per_api_call,estimated,libgen-api-pricing-2026-08-15,2026-08-15,per_token_rates_available,harbor_agent_result,0.0,5.0,0.5,30.0,6.25,
gpt_pi,GPT + Pi,GPT,Pi,shared,gpt_5_6_sol,1,scrrbs,scRRBS,8,1,1,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/scrrbs__Yk4DWzY/result.json,4.5.0,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/scrrbs__Yk4DWzY/verifier/rescore/libgen-4.5.0/details.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/scrrbs__Yk4DWzY/verifier/rescore/libgen-4.5.0/reward.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/scrrbs__Yk4DWzY/verifier/rescore/libgen-4.5.0/error_analysis.json,valid_completion,,1,1,1,pending,0.8129100529100529,0.8129100529100529,0.9494444444444443,0.9494444444444443,0.7104784544293645,0.7104784544293645,0.9090909090909091,0.9090909090909091,1701835,1701748,114254,,,33357,2.5661065,per_api_call,estimated,libgen-api-pricing-2026-08-15,2026-08-15,per_token_rates_available,harbor_agent_result,0.0,5.0,0.5,30.0,6.25,
gpt_pi,GPT + Pi,GPT,Pi,shared,gpt_5_6_sol,1,share_seq,SHARE-seq,9,1,1,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/share_seq__hgyYqSb/result.json,4.5.0,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/share_seq__hgyYqSb/verifier/rescore/libgen-4.5.0/details.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/share_seq__hgyYqSb/verifier/rescore/libgen-4.5.0/reward.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/share_seq__hgyYqSb/verifier/rescore/libgen-4.5.0/error_analysis.json,valid_completion,,1,1,1,pending,0.946461290798153,0.946461290798153,0.7391341256366722,0.7391341256366722,0.6577706972693647,0.6577706972693647,0.5,0.5,4812617,4812476,171370,,,59549,5.2644755,per_api_call,estimated,libgen-api-pricing-2026-08-15,2026-08-15,per_token_rates_available,harbor_agent_result,0.0,5.0,0.5,30.0,6.25,
gpt_pi,GPT + Pi,GPT,Pi,shared,gpt_5_6_sol,1,smart_seq,SMART-seq,10,1,1,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/smart_seq__kEC2bWo/result.json,4.5.0,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/smart_seq__kEC2bWo/verifier/rescore/libgen-4.5.0/details.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/smart_seq__kEC2bWo/verifier/rescore/libgen-4.5.0/reward.json,/Users/seqmachines/playground/libstruct-bench/runs/libgen/pi/libgen-pi-gpt-5-6-sol/smart_seq__kEC2bWo/verifier/rescore/libgen-4.5.0/error_analysis.json,valid_completion,,1,1,1,pending,0.525438596491228,0.525438596491228,0.6631091617933724,0.6631091617933724,0.5610447366332739,0.5610447366332739,0.6470588235294118,0.6470588235294118,2426407,2426293,121275,,,44056,3.29336525,per_api_call,estimated,libgen-api-pricing-2026-08-15,2026-08-15,per_token_rates_available,harbor_agent_result,0.0,5.0,0.5,30.0,6.25,
